Tags,Values
ImageWidth,4000
ImageLength,3000
BitsPerSample,"(8, 8, 8)"
GPSInfo,"{'Lat': 25.7789497375, 'Lng': -100.33634185777778}"
ResolutionUnit,2
ExifOffset,284
DeviceSettingDescription,b'ipp\x00'
Make,HUAWEI
Model,YAL-L21
Software,YAL-L71 10.1.0.233(C69E12R1P1)
Orientation,0
DateTime,2020:08:17 18:04:42
YCbCrPositioning,1
XResolution,72.0
YResolution,72.0
ExifVersion,b'0210'
ComponentsConfiguration,b'\x01\x02\x03\x00'
CompressedBitsPerPixel,0.95
DateTimeOriginal,2020:08:17 18:04:42
DateTimeDigitized,2020:08:17 18:04:42
ShutterSpeedValue,29.8973
ApertureValue,1.69
BrightnessValue,0.0
ExposureBiasValue,0.0
MaxApertureValue,1.69
MeteringMode,5
LightSource,1
Flash,24
FocalLength,4.75
ColorSpace,1
ExifImageWidth,4000
SubsecTime,095638
SubsecTimeOriginal,095638
SubsecTimeDigitized,095638
ExifImageHeight,3000
SubjectDistanceRange,0
SensingMethod,2
FileSource,b'\x03'
ExposureTime,0.05
ExifInteroperabilityOffset,1220
FNumber,1.8
SceneType,b'\x01'
ExposureProgram,2
CustomRendered,1
ISOSpeedRatings,2000
ExposureMode,0
FlashPixVersion,b'0100'
WhiteBalance,0
DigitalZoomRatio,1.0
FocalLengthIn35mmFilm,26
SceneCaptureType,0
GainControl,0
Contrast,0
Saturation,0
Sharpness,0
MakerNote,b'Auto\x00'
Direccion,"{'Nogal 201, San Genaro 3er Sector, 66070 Cd Gral Escobedo, N.L., Mexico'}"
Tags,Values
ImageWidth,4000
ImageLength,3000
BitsPerSample,"(8, 8, 8)"
GPSInfo,"{'Lat': 25.7789497375, 'Lng': -100.33634185777778}"
ResolutionUnit,2
ExifOffset,284
DeviceSettingDescription,b'ipp\x00'
Make,HUAWEI
Model,YAL-L21
Software,YAL-L71 10.1.0.233(C69E12R1P1)
Orientation,0
DateTime,2020:08:17 18:04:42
YCbCrPositioning,1
XResolution,72.0
YResolution,72.0
ExifVersion,b'0210'
ComponentsConfiguration,b'\x01\x02\x03\x00'
CompressedBitsPerPixel,0.95
DateTimeOriginal,2020:08:17 18:04:42
DateTimeDigitized,2020:08:17 18:04:42
ShutterSpeedValue,29.8973
ApertureValue,1.69
BrightnessValue,0.0
ExposureBiasValue,0.0
MaxApertureValue,1.69
MeteringMode,5
LightSource,1
Flash,24
FocalLength,4.75
ColorSpace,1
ExifImageWidth,4000
SubsecTime,095638
SubsecTimeOriginal,095638
SubsecTimeDigitized,095638
ExifImageHeight,3000
SubjectDistanceRange,0
SensingMethod,2
FileSource,b'\x03'
ExposureTime,0.05
ExifInteroperabilityOffset,1220
FNumber,1.8
SceneType,b'\x01'
ExposureProgram,2
CustomRendered,1
ISOSpeedRatings,2000
ExposureMode,0
FlashPixVersion,b'0100'
WhiteBalance,0
DigitalZoomRatio,1.0
FocalLengthIn35mmFilm,26
SceneCaptureType,0
GainControl,0
Contrast,0
Saturation,0
Sharpness,0
MakerNote,b'Auto\x00'
Direccion,"{'Nogal 201, San Genaro 3er Sector, 66070 Cd Gral Escobedo, N.L., Mexico'}"
